feature,importance_mean,importance_std
gy_spec_centroid,-1.8734017467991749e-06,0.0002655207561770652
az_mad,-1.91598776940749e-05,0.00015910009577213557
alpha_mag_rms,-2.4002150190560734e-05,0.0002552274430264275
alpha_z_power_low,-2.522487796630113e-05,2.6597356376010455e-05
ax_std,-2.7553959504800217e-05,0.0002458386099727584
alpha_z_p10,-3.6021562715471414e-05,5.176049333325694e-05
gyro_mag_power_low,-6.149649782405398e-05,0.00013095051314985026
gy_power_low,-6.979100634760816e-05,0.00012258889443241827
alpha_mag_p2p,-8.74163733594946e-05,6.52235230872549e-05
alpha_mag_spec_centroid,-8.934511754650209e-05,0.00010728364551876039
gyro_mag_p10,-9.224662373346071e-05,0.0007906617957668022
ax_p2p,-0.00010259035685520335,0.0004898953599257573
gz_skew,-0.00010611251255534526,2.4141919947393692e-05
jerk_mag_power_low,-0.00010761591946208959,0.00011880887288482276
alpha_mag_skew,-0.00010855056791474471,9.988446234081198e-05
gz_p10,-0.00010931594875385198,7.41777321344453e-06
acc_horiz_power_low,-0.0001221195741015979,7.904167166511181e-05
alpha_z_iqr,-0.00012508116248830526,0.0002441733226063087
acc_mag_kurt,-0.0001335750062897878,0.00016863921637074957
jerk_mag_dom_freq,-0.0001427785203311771,0.00016843574794129108
ax_kurt,-0.0001529611293535682,0.0001334719312520578
alpha_mag_power_high,-0.00015775741645163155,8.560922626501572e-05
gy_skew,-0.00018667996827419485,0.00011103359266077315
ay_power_low,-0.00021011155555124007,0.00010646933695004115
alpha_z_p2p,-0.00021579367538755446,6.008545903078876e-05
gx_p2p,-0.00021791833483766342,0.00035417676690784896
ax_power_low,-0.0002465701949512011,0.0003308817168479691
acc_horiz_power_high,-0.0002761736099088141,6.0832181607921684e-05
gz_max,-0.0002799076823092994,0.0001281291496252389
az_kurt,-0.00028345973759349443,0.00019608854264420103
az_power_low,-0.0002836004342728904,5.075882076442388e-05
acc_horiz_std,-0.0003322159102307376,0.00023053929224514547
ay_skew,-0.0003364200337836687,0.00013320518049619813
acc_horiz_kurt,-0.0003397881941645142,0.000141758531191188
jerk_mag_kurt,-0.0003512016523268269,0.00010354618832258471
gx_dom_freq,-0.00035484840225081805,7.18864862774505e-05
ax_max,-0.0003600489597958445,0.0006592738989886579
acc_horiz_mad,-0.00037582558807354173,0.00013807424064005277
ax_mad,-0.0003786902865017261,6.554261239638685e-05
gx_kurt,-0.0003833932357572234,0.00021307890304655093
ax_skew,-0.000393630935625322,0.00014908471812367574
az_dom_freq,-0.0003958175599796165,0.00010115088239013667
gy_kurt,-0.0004000447826586484,0.00018637080330801258
gx_mean,-0.00042467374892707355,0.00032462543316258375
alpha_z_p90,-0.00045993164489068763,0.0001269910878833946
gz_p2p,-0.0004913702067049774,9.260902613431016e-05
acc_horiz_p2p,-0.0006007851358194704,9.025544582642623e-05
acc_horiz_spec_centroid,-0.000638501090979493,0.00017011730425349662
acc_horiz_mean,-0.0006638805877843046,0.00014066280546607231
acc_mag_iqr,-0.0006907825746070406,0.0002038199940768617
gyro_mag_mad,-0.0006974051054775332,0.00012281041980711805
ay_mad,-0.0007177298886742234,0.00013453398541221317
alpha_mag_std,-0.0007299149061634758,6.904953463661178e-05
ax_p10,-0.0007922180297920356,0.0005437651108435259
ay_p2p,-0.0008236440558754277,0.0006506149855081794
acc_mag_spec_centroid,-0.0008905357516797441,0.0002958113731396042
alpha_mag_iqr,-0.000971351413189181,0.00010454240144550684
alpha_mag_min,-0.001030916969437623,0.0006498797230060433
alpha_z_max,-0.0011432903867421684,0.00015146846570707792
gy_mad,-0.0013327430517832584,0.00020010705097793462
ax_mean,-0.0013970407970473886,0.00043903107973825717
gx_p10,-0.0014859860767537203,0.0006170364198927752
az_spec_centroid,-0.001735076667085478,0.00044348921511407476
ax_iqr,-0.001745726973485784,0.00022285459291670516
